state,partisan
Maine,Democrat
New Hampshire,Competitive
Vermont,Democrat
Massachusetts,Democrat
Rhode Island,Democrat
Connecticut,Democrat
New York,Democrat
New Jersey,Democrat
Pennsylvania,Competitive
Maryland,Democrat
Delaware,Democrat
West Virginia,Competitive
Ohio,Competitive
Michigan,Democrat
Indiana,Competitive
Illinois,Democrat
Wisconsin,Competitive
Minnesota,Democrat
Iowa,Competitive
Missouri,Republican
North Dakota,Republican
South Dakota,Republican
Nebraska,Republican
Kansas,Republican
Virginia,Democrat
North Carolina,Competitive
South Carolina,Republican
Georgia,Competitive
Florida,Competitive
Kentucky,Competitive
Tennessee,Republican
Alabama,Republican
Mississippi,Republican
Arkansas,Republican
Louisiana,Competitive
Oklahoma,Republican
Texas,Competitive
Montana,Republican
Arizona,Competitive
Colorado,Democrat
Idaho,Republican
Wyoming,Republican
Utah,Republican
Nevada,Competitive
New Mexico,Democrat
California,Democrat
Oregon,Democrat
Washington,Democrat
Hawaii,Democrat
Alaska,Republican
District of Columbia,Democrat